"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"1143","NP-NeolhaPoint-6-18-20-A","RP",3.52492308616638,"HEX",4.92257642745972,2.42151021957397,10362,31,10331,"NP-NeolhaPoint",06/18/20,"Newport"
"1144","NP-NeolhaPoint-6-18-20-A","N1",0.0959170460700989,"FAM",0.458170384168625,0.00402835896238685,12266,1,12265,"NP-NeolhaPoint",06/18/20,"Newport"
"1146","NP-NeolhaPoint-6-18-20-A","RP",3.16939878463745,"HEX",4.38275194168091,2.20432543754578,12266,33,12233,"NP-NeolhaPoint",06/18/20,"Newport"
"1197","NP-Inf-7-1-20-A","RP",0.855848371982574,"HEX",1.60297799110413,0.387408226728439,11001,8,10993,"NP-Inf",07/01/20,"Newport"
"1200","NP-Inf-7-1-20-A","RP",1.15802502632141,"HEX",1.88038241863251,0.649842500686646,14230,14,14216,"NP-Inf",07/01/20,"Newport"
"1203","NP-Inf-7-2-20-A","RP",0.663147270679474,"HEX",1.29177701473236,0.281697183847427,12422,7,12415,"NP-Inf",07/02/20,"Newport"
"1206","NP-Inf-7-2-20-A","RP",0.402170926332474,"HEX",0.874092638492584,0.14138762652874,14629,5,14624,"NP-Inf",07/02/20,"Newport"
"1275","NP-Inf-6-26-20-A","RP",0.960149049758911,"HEX",1.69173240661621,0.477960288524628,12258,10,12248,"NP-Inf",06/26/20,"Newport"
"1278","NP-Inf-6-26-20-A","RP",0.688253283500671,"HEX",1.34069561958313,0.292360126972198,11969,7,11962,"NP-Inf",06/26/20,"Newport"
"1311","NP-Inf-6-25-20-A","RP",0.99761962890625,"HEX",1.807865858078,0.475648164749146,10618,9,10609,"NP-Inf",06/25/20,"Newport"
"1314","NP-Inf-6-25-20-A","RP",1.34517848491669,"HEX",2.26448369026184,0.716676592826843,10501,12,10489,"NP-Inf",06/25/20,"Newport"
"1335","NP-Inf-6-24-20-A","RP",1.03566694259644,"HEX",1.78106391429901,0.534666895866394,12501,11,12490,"NP-Inf",06/24/20,"Newport"
"1338","NP-Inf-6-24-20-A","RP",0.411677241325378,"HEX",0.970862627029419,0.124208427965641,11433,4,11429,"NP-Inf",06/24/20,"Newport"
"1450","NP-RunningSprings-6-18-20-A","N1",0,"FAM",0.346459448337555,0,10175,0,10175,"NP-RunningSprings",06/18/20,"Newport"
"1452","NP-RunningSprings-6-18-20-A","RP",1.50406837463379,"HEX",2.48448324203491,0.82364422082901,10175,13,10162,"NP-RunningSprings",06/18/20,"Newport"
"1453","NP-RunningSprings-6-18-20-A","N1",0,"FAM",0.372373908758163,0,9467,0,9467,"NP-RunningSprings",06/18/20,"Newport"
"1454","NP-RunningSprings-6-18-20-A","N2",0,"FAM/HEX",0.372373908758163,0,9467,0,9467,"NP-RunningSprings",06/18/20,"Newport"
"1455","NP-RunningSprings-6-18-20-A","RP",1.24336373806,"HEX",2.19094276428223,0.618906497955322,9467,10,9457,"NP-RunningSprings",06/18/20,"Newport"
"1471","NP-Embarcadero-6-18-20-A","N1",0,"FAM",0.359315484762192,0,9811,0,9811,"NP-Embarcadero",06/18/20,"Newport"
"1473","NP-Embarcadero-6-18-20-A","RP",2.16042399406433,"HEX",3.32557821273804,1.30598223209381,9811,18,9793,"NP-Embarcadero",06/18/20,"Newport"
"1494","NP-32ndSt-6-17-20-A","RP",2.63964867591858,"HEX",3.79432511329651,1.74749541282654,11601,26,11575,"NP-32ndSt",06/17/20,"Newport"
